kind,C,mode,thr,int_f1,int_lipid5,fire,apo_pdb_f1,apo_pdb_auc,apo_pdb_fire,alphafold_f1,alphafold_auc,alphafold_fire,holdout_mean
rich,0.03,vsterol,0.95,0.899552771320836,0.6653463855643191,0.015558475689881734,0.7401574803149608,0.7785074626865671,0.13675213675213677,0.7721518987341772,0.8645320197044335,0.12080536912751678,0.756154689524569
compact,3.0,mean,0.9,0.8999446465220055,0.6657271978614472,0.030091984231274637,0.736,0.7877611940298507,0.1794871794871795,0.7757575757575758,0.8450170519136038,0.19463087248322147,0.7558787878787878
compact,10.0,mean,0.9,0.8999446465220055,0.6657271978614472,0.03040735873850197,0.736,0.7877611940298507,0.1794871794871795,0.7757575757575758,0.8450170519136038,0.19463087248322147,0.7558787878787878
compact,30.0,mean,0.9,0.8999446465220055,0.6657271978614472,0.030512483574244416,0.736,0.7877611940298507,0.1794871794871795,0.7757575757575758,0.8450170519136038,0.19463087248322147,0.7558787878787878
rich,0.1,mean,0.9,0.8995938897313539,0.6651122378165094,0.02709592641261498,0.7401574803149608,0.7794029850746269,0.18803418803418803,0.7710843373493976,0.8292913982569156,0.19463087248322147,0.7556209088321792
compact,0.3,mean,0.95,0.8999054581620348,0.6656895414319023,0.02049934296977661,0.736,0.7847761194029851,0.15384615384615385,0.775,0.8561955286093217,0.12751677852348994,0.7555000000000001
rich,0.1,mean,0.95,0.8998114268268673,0.6656454816364655,0.018633377135348225,0.736,0.7847761194029851,0.15384615384615385,0.775,0.8561955286093217,0.12751677852348994,0.7555000000000001
compact,0.03,paper17,0.9,0.8966366324295681,0.6598684674976593,0.021892247043363993,0.7441860465116278,0.7773134328358209,0.18803418803418803,0.7664670658682634,0.7917771883289125,0.19463087248322147,0.7553265561899456
no_base,0.03,vsterol,0.95,0.8991887161945133,0.6652135526446223,0.013850197109067017,0.7401574803149608,0.7802985074626866,0.1111111111111111,0.7701863354037267,0.848048503220917,0.1342281879194631,0.7551719078593437
no_base,3.0,paper17,0.9,0.8967960673824722,0.6602929074987379,0.03032851511169514,0.7317073170731707,0.8023880597014925,0.1623931623931624,0.7777777777777779,0.8317544524441077,0.174496644295302,0.7547425474254743
no_base,10.0,paper17,0.9,0.8967044713211026,0.660236717858703,0.030696452036793692,0.7317073170731707,0.8023880597014925,0.1623931623931624,0.7777777777777779,0.8317544524441077,0.174496644295302,0.7547425474254743
no_base,30.0,paper17,0.9,0.8967044713211026,0.660236717858703,0.030801576872536138,0.7317073170731707,0.8023880597014925,0.1623931623931624,0.7777777777777779,0.8317544524441077,0.174496644295302,0.7547425474254743
compact,1.0,paper17,0.95,0.8977298491742454,0.6615137040475867,0.02128777923784494,0.7419354838709676,0.7997014925373134,0.15384615384615385,0.7672955974842767,0.8397120121258053,0.1342281879194631,0.7546155406776222
compact,3.0,paper17,0.95,0.8975002829531067,0.661494685317749,0.02152431011826544,0.7419354838709676,0.7997014925373134,0.15384615384615385,0.7672955974842767,0.8397120121258053,0.1342281879194631,0.7546155406776222
compact,10.0,paper17,0.95,0.8975002829531067,0.661494685317749,0.021708278580814717,0.7419354838709676,0.7997014925373134,0.15384615384615385,0.7672955974842767,0.8397120121258053,0.1342281879194631,0.7546155406776222
compact,30.0,paper17,0.95,0.8975002829531067,0.661494685317749,0.021734559789750328,0.7419354838709676,0.7997014925373134,0.15384615384615385,0.7672955974842767,0.8397120121258053,0.1342281879194631,0.7546155406776222
rich,0.3,paper17,0.95,0.8976355472482482,0.6614275756831975,0.020446780551905387,0.7419354838709676,0.7999999999999999,0.1452991452991453,0.7672955974842767,0.8397120121258053,0.1342281879194631,0.7546155406776222
rich,1.0,paper17,0.95,0.8977019081290915,0.6616430363815822,0.021366622864651776,0.7419354838709676,0.7997014925373134,0.15384615384615385,0.7672955974842767,0.8397120121258053,0.1342281879194631,0.7546155406776222
no_base,0.1,paper17,0.95,0.8977270407624657,0.6615097495513786,0.018107752956636004,0.7419354838709676,0.7952238805970149,0.13675213675213677,0.7672955974842767,0.8385752178855628,0.12751677852348994,0.7546155406776222
compact,3.0,vsterol,0.9,0.8992345250554347,0.6651852116309607,0.030091984231274637,0.736,0.7808955223880598,0.1794871794871795,0.7730061349693251,0.843690791966654,0.19463087248322147,0.7545030674846626
compact,10.0,vsterol,0.9,0.8992345250554347,0.6651852116309607,0.03040735873850197,0.736,0.7808955223880598,0.1794871794871795,0.7730061349693251,0.843690791966654,0.19463087248322147,0.7545030674846626
compact,30.0,vsterol,0.9,0.8992345250554347,0.6651852116309607,0.030512483574244416,0.736,0.7808955223880598,0.1794871794871795,0.7730061349693251,0.843690791966654,0.19463087248322147,0.7545030674846626
rich,0.1,vsterol,0.9,0.8992528006295476,0.6652710760153324,0.02709592641261498,0.7401574803149608,0.7731343283582089,0.18803418803418803,0.7682926829268293,0.8298597953770367,0.19463087248322147,0.7542250816208951
compact,0.3,vsterol,0.95,0.8993025094208558,0.6652682246942101,0.02049934296977661,0.736,0.7797014925373134,0.15384615384615385,0.7721518987341772,0.8645320197044335,0.12751677852348994,0.7540759493670885
rich,0.1,vsterol,0.95,0.8993025094208558,0.6652682246942101,0.018633377135348225,0.736,0.7797014925373134,0.15384615384615385,0.7721518987341772,0.8645320197044335,0.12751677852348994,0.7540759493670885
simple,10.0,mean,0.99,0.9000429604149752,0.6661518799172775,0.014323258869908016,0.7301587301587301,0.7737313432835822,0.10256410256410256,0.7777777777777779,0.8493747631678666,0.14093959731543623,0.753968253968254
