components,n_components,lipid5,lipid5_std,macro10,macro10_std,binary_f1,binary_f1_std,CLR,MYR,OLA,PLM,STE,apo_f1,apo_auroc,alphafold_f1,alphafold_auroc,holdout_mean,holdout_min
shape3+shell6_shape+shell6_shape3+hydro4,4,0.680269853737775,0.030718437236297302,0.7766530933857019,0.019093779888657424,0.9045582538795649,0.016210396576360527,0.7710498037285284,0.7135566818503452,0.6175691489809922,0.6486415409235161,0.6505320932054933,0.6782608695652174,0.804179104477612,0.6713286713286712,0.8632057597574839,0.6747947704469444,0.6713286713286712
shell6_shape3+hydro4+geom,3,0.6800118849514454,0.03229884947457662,0.7745030723267571,0.020257220456464848,0.9040320170362799,0.017191585375188296,0.7684103070291418,0.7096196900576334,0.6152776215122656,0.647185786815729,0.6595660193424567,0.6486486486486487,0.7991044776119404,0.6370370370370371,0.8681318681318682,0.6428428428428429,0.6370370370370371
shape3+shape6+shell6_shape3+chem,4,0.6799931422536878,0.031009092807396867,0.7774504548727473,0.01634240731089506,0.9053362546500494,0.015118876185483684,0.7697958009207252,0.7095365155201578,0.6263623599906087,0.6498870087559486,0.6443840260809985,0.6782608695652174,0.7979104477611941,0.6620689655172415,0.8603637741568777,0.6701649175412294,0.6620689655172415
shape3+shape6+shell6_shape3,3,0.679938717384872,0.029924474509715276,0.7775513679343808,0.016138251408014163,0.9036545941626468,0.01584327939878404,0.767405228138359,0.7043309154827052,0.624303672555605,0.6492629303484838,0.6543908403992067,0.6782608695652174,0.7949253731343284,0.6620689655172415,0.8624478969306555,0.6701649175412294,0.6620689655172415
shape3+shape6+shell6_shape+shell6_shape3+geom+chem,6,0.6799375461926247,0.031100782921773693,0.7768531638249268,0.01680365176935914,0.9046588316964552,0.016040837152970954,0.7696005080367999,0.7095644600896172,0.623096245001527,0.6499441063194566,0.647482411515723,0.689655172413793,0.8002985074626866,0.6713286713286712,0.8618794998105342,0.6804919218712322,0.6713286713286712
shape3+shell6_shape+shell6_shape3+chem,4,0.6799291543167346,0.029672771830426534,0.7766442823141696,0.01649402260863887,0.9053084225495844,0.01612952750582946,0.7701240723292659,0.7129126862385068,0.6204171725112948,0.648321175458412,0.6478706650461941,0.7008547008547008,0.8035820895522388,0.6802721088435374,0.861311102690413,0.6905634048491192,0.6802721088435374
shape3+geom+chem,3,0.6798555745516418,0.030766769731363643,0.7760022026600896,0.01659141873108104,0.9047503972608392,0.01556323773111632,0.7689665201715177,0.7153248578831389,0.6202351909294499,0.6539885739257839,0.6407627298483186,0.6548672566371682,0.7988059701492537,0.6666666666666667,0.8643425539977263,0.6607669616519174,0.6548672566371682
shape3+shape6+shell6_shape3+hydro4+chem,5,0.6797805516347438,0.030735749704394317,0.7774947479985138,0.018055169215855475,0.9053240999240412,0.016660247194449217,0.7663058346547971,0.7083674507885135,0.6265449222926881,0.6493816553633144,0.648302895074406,0.6782608695652174,0.7991044776119403,0.6527777777777779,0.8620689655172414,0.6655193236714976,0.6527777777777779
shape6+shell6_shape+shell6_shape3+hydro4+geom,5,0.6797451142708282,0.028641273784086,0.7754408539133391,0.016162626318545634,0.904612285917876,0.017038198895596608,0.7717849198663221,0.7093405273146206,0.6170763468492949,0.6475099835683444,0.6530137937555586,0.6666666666666666,0.8005970149253732,0.6323529411764706,0.8615005683971201,0.6495098039215685,0.6323529411764706
shape6+shell6_shape3+geom,3,0.6797387832488961,0.03098103290968742,0.775157700459153,0.01700586761228033,0.9046136632715904,0.017011123617150216,0.7660282983874276,0.7031175313403344,0.6238438559612972,0.6510360501126894,0.6546681804427321,0.6428571428571428,0.7949253731343283,0.6176470588235294,0.8618794998105344,0.6302521008403361,0.6176470588235294
