feature,family,unique,std,zero_frac,gain_mean,gain_std,gain_frac_mean,gain_used_splits,split_count_mean,perm_lipid5_drop_mean,perm_lipid5_drop_std,perm_macro10_drop_mean,perm_binary_f1_drop_mean,mi_10class,mi_above_global95,mi_above_global99,mi_above_max95,mi_above_feature95,lgbm_stable_gain,perm_positive_1bp,perm_positive_5bp,any_supervised_signal
tunnel_caver_profile_present,tunnel,2,0.41732421580770546,0.22458768644457586,8752.190038324594,323.94921280038653,0.02637379516632616,25,143.2,0.05555403700189143,0.014541102936628603,0.029793466446049143,0.004354758871662057,0.038550067473872573,True,True,True,True,True,True,True,True
tunnel_primary_hydrophobicity,tunnel,6837,0.9789621697357415,0.28622117090479005,7902.957176511586,687.8680450262171,0.02381469909089762,25,617.96,0.012007876206310164,0.012674939200974154,0.007945572839610903,0.010148046292291513,0.11628542840234513,True,True,True,True,True,True,True,True
ASP,v_sterol,11,0.9928278274470015,0.5368289637952559,7754.7715335553885,560.1784431953483,0.023368059304988854,25,241.36,0.008780120354572452,0.002948373663899033,0.008521600909971273,0.002303788606447599,0.06082528887212968,True,True,True,True,True,True,True,True
surf_apol_vdw14,v_sterol,1665,71.70959475676241,0.011235955056179775,7224.038695413321,439.93651671738115,0.02176893428576338,25,1095.44,0.02692342586025549,0.009939155612777395,0.025586484513473097,0.028588579625797396,0.10757400242070769,True,True,True,True,True,True,True,True
pocket_burial,v_sterol,15123,0.18749045298980793,0.0,6974.8059138831495,387.104360055561,0.021017820806054754,25,1047.84,0.01736608951499501,0.016741287682031546,0.011789298304322626,-0.0007261993187627658,0.06682905827779928,True,True,True,True,True,True,True,True
mean_as_ray,v_sterol,100,0.1500346752994017,0.0,6627.225419487059,358.9500926191644,0.01997048504740949,25,839.08,0.027385354079631673,0.01816252161634563,0.025910891574342055,0.014648614778008495,0.05637100330669487,True,True,True,True,True,True,True,True
GLY,v_sterol,17,1.3993356133561843,0.5287469610355476,6001.2742719846965,400.8203825217601,0.018084187996106095,25,380.64,0.012094466935899838,0.008790905857383088,0.018737588468750177,0.013330549707945338,0.10812693105849736,True,True,True,True,True,True,True,True
flex,v_sterol,102,0.35362105940837846,0.007162100006570734,5922.592802714407,518.6929806275775,0.0178472368227901,25,820.8,0.007368958552610461,0.009044644322726296,0.009372060157736617,-0.0009517090436116816,0.03878938245112762,True,True,True,True,True,True,True,True
charge_score,v_sterol,23,1.7843318172796274,0.291083514028517,4967.155479820669,477.28684711712583,0.014968015794291786,25,408.16,0.0034073776934295365,0.009529434787570432,0.0062209693366211734,0.0049289955676314005,0.07302368371446644,True,True,True,True,True,True,False,True
surf_pol_vdw14,v_sterol,3773,55.64447356749642,0.03397069452657862,4258.987695704401,357.7697146673932,0.012834025442205972,25,715.96,0.02031398152456667,0.009674121067415055,0.015947730911255675,-1.0158292693174253e-05,0.08503438685285314,True,True,True,True,True,True,True,True
